slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
0,0,25,5,0,0,0,0
1,0,25,5,0,0,0,0
2,0,25,5,0,0,0,0
3,0,25,5,0,0,0,0
4,0,25,5,0,0,0,0
5,0,25,5,0,0,0,0
6,0,25,5,0,0,0,0
7,0,25,5,0,0,0,0
24,1,25,5,0,0,0,0
48,2,25,5,0,0,0,0
72,3,25,5,0,0,0,0
96,4,25,0,5,0,0,0
120,5,25,0,5,0,0,0
121,5,25,0,5,0,0,0
122,5,25,0,5,0,0,0
123,5,25,0,5,0,0,0
124,5,25,0,5,0,0,0
125,5,25,0,5,0,0,0
126,5,25,0,5,0,0,0
127,5,25,0,5,0,0,0
144,6,25,0,5,0,0,0
168,7,25,0,5,0,0,0
192,8,25,0,5,0,0,0
216,9,25,0,5,0,0,0
240,10,25,0,5,0,0,0
241,10,25,0,5,0,0,0
242,10,25,0,5,0,0,0
243,10,25,0,5,0,0,0
244,10,25,0,5,0,0,0
245,10,25,0,5,0,0,0
246,10,25,0,5,0,0,0
247,10,25,0,5,0,0,0
264,11,25,0,0,5,0,0
288,12,25,0,0,5,0,0
312,13,25,0,0,5,0,0
336,14,25,0,0,5,0,0
360,15,25,0,0,5,0,0
361,15,25,0,0,5,0,0
362,15,25,0,0,5,0,0
363,15,25,0,0,5,0,0
364,15,25,0,0,5,0,0
365,15,25,0,0,5,0,0
366,15,25,0,0,5,0,0
367,15,25,0,0,5,0,0
384,16,25,0,0,5,0,0
408,17,25,0,0,5,0,0
432,18,25,0,0,5,0,0
456,19,25,0,0,5,0,0
480,20,25,0,0,5,0,0
481,20,25,0,0,5,0,0
482,20,25,0,0,5,0,0
483,20,25,0,0,5,0,0
484,20,25,0,0,5,0,0
485,20,25,0,0,5,0,0
486,20,25,0,0,5,0,0
487,20,25,0,0,5,0,0
504,21,25,0,0,5,0,0
528,22,25,0,0,5,0,0
552,23,25,0,0,5,0,0
576,24,25,0,0,5,0,0
600,25,25,0,0,5,0,0
601,25,25,0,0,5,0,0
602,25,25,0,0,5,0,0
603,25,25,0,0,5,0,0
604,25,25,0,0,5,0,0
605,25,25,0,0,5,0,0
606,25,25,0,0,5,0,0
607,25,25,0,0,5,0,0
624,26,25,0,0,5,0,0
648,27,25,0,0,5,0,0
672,28,25,0,0,5,0,0
696,29,25,0,0,5,0,0
720,30,25,0,0,5,0,0
721,30,25,0,0,5,0,0
722,30,25,0,0,5,0,0
723,30,25,0,0,5,0,0
724,30,25,0,0,5,0,0
725,30,25,0,0,5,0,0
726,30,25,0,0,5,0,0
727,30,25,0,0,5,0,0
744,31,25,0,0,5,0,0
768,32,25,0,0,5,0,0
792,33,25,0,0,5,0,0
816,34,25,0,0,5,0,0
840,35,25,0,0,5,0,0
841,35,25,0,0,5,0,0
842,35,25,0,0,5,0,0
843,35,25,0,0,5,0,0
844,35,25,0,0,5,0,0
845,35,25,0,0,5,0,0
846,35,25,0,0,5,0,0
847,35,25,0,0,5,0,0
864,36,25,0,0,5,0,0
888,37,25,0,0,5,0,0
912,38,25,0,0,5,0,0
936,39,25,0,0,5,0,0
960,40,25,0,0,5,0,0
961,40,25,0,0,5,0,0
962,40,25,0,0,5,0,0
963,40,25,0,0,5,0,0
964,40,25,0,0,5,0,0
965,40,25,0,0,5,0,0
966,40,25,0,0,5,0,0
967,40,25,0,0,5,0,0
984,41,25,0,0,5,0,0
1008,42,25,0,0,5,0,0
1032,43,25,0,0,5,0,0
1056,44,25,0,0,5,0,0
1080,45,25,0,0,5,0,0
1081,45,25,0,0,5,0,0
1082,45,25,0,0,5,0,0
1083,45,25,0,0,5,0,0
1084,45,25,0,0,5,0,0
1085,45,25,0,0,5,0,0
1086,45,25,0,0,5,0,0
1087,45,25,0,0,5,0,0
1104,46,25,0,0,5,0,0
1128,47,25,0,0,5,0,0
1152,48,25,0,0,5,0,0
1176,49,25,0,0,5,0,0
1200,50,25,0,0,5,0,0
1201,50,25,0,0,5,0,0
1202,50,25,0,0,5,0,0
1203,50,25,0,0,5,0,0
1204,50,25,0,0,5,0,0
1205,50,25,0,0,5,0,0
1206,50,25,0,0,5,0,0
1207,50,25,0,0,5,0,0
1224,51,25,0,0,5,0,0
1248,52,25,0,0,5,0,0
1272,53,25,0,0,5,0,0
1296,54,25,0,0,5,0,0
1320,55,25,0,0,5,0,0
1321,55,25,0,0,5,0,0
1322,55,25,0,0,5,0,0
1323,55,25,0,0,5,0,0
1324,55,25,0,0,5,0,0
1325,55,25,0,0,5,0,0
1326,55,25,0,0,5,0,0
1327,55,25,0,0,5,0,0
1344,56,25,0,0,5,0,0
1368,57,25,0,0,5,0,0
1392,58,25,0,0,5,0,0
1416,59,25,0,0,5,0,0
1440,60,25,0,0,5,0,0
1441,60,25,0,0,5,0,0
1442,60,25,0,0,5,0,0
1443,60,25,0,0,5,0,0
