slot,day_index,susceptible,exposed,infectious,recovered,new_infections,isolated
0,0,30,30,0,0,0,0
1,0,30,30,0,0,0,0
2,0,30,30,0,0,0,0
3,0,30,30,0,0,0,0
4,0,30,30,0,0,0,0
5,0,30,30,0,0,0,0
6,0,30,30,0,0,0,0
7,0,30,30,0,0,0,0
24,1,30,30,0,0,0,0
48,2,30,30,0,0,0,0
72,3,30,30,0,0,0,0
96,4,30,0,30,0,0,0
120,5,28,2,30,0,2,0
121,5,28,2,30,0,0,0
122,5,28,2,30,0,0,0
123,5,28,2,30,0,0,0
124,5,28,2,30,0,0,0
125,5,28,2,30,0,0,0
126,5,28,2,30,0,0,0
127,5,28,2,30,0,0,0
144,6,28,2,30,0,0,0
168,7,28,2,30,0,0,0
192,8,28,2,30,0,0,0
216,9,28,0,32,0,0,0
240,10,28,0,32,0,0,0
